Estado;Ano;Área Prevista (km²)
Acre;2025;752.8851814251393
Acre;2026;789.0869074555812
Acre;2027;825.2886334860377
Acre;2028;861.4903595164797
Acre;2029;897.6920855469216
Acre;2030;933.8938115773781
Amapá;2025;11.298723653810612
Amapá;2026;9.436159311044321
Amapá;2027;7.573594968278485
Amapá;2028;5.711030625512194
Amapá;2029;3.8484662827459033
Amapá;2030;1.9859019399796125
Amazonas;2025;2045.1291923835815
Amazonas;2026;2156.021180870477
Amazonas;2027;2266.9131693573727
Amazonas;2028;2377.8051578442683
Amazonas;2029;2488.697146331164
Amazonas;2030;2599.5891348180594
Maranhão;2025;115.54335464114774
Maranhão;2026;106.77978596147295
Maranhão;2027;98.01621728179452
Maranhão;2028;89.25264860211973
Maranhão;2029;80.4890799224413
Maranhão;2030;71.72551124276652
Mato Grosso;2025;1995.3669168289925
Mato Grosso;2026;2070.7101756942866
Mato Grosso;2027;2146.0534345595806
Mato Grosso;2028;2221.3966934248747
Mato Grosso;2029;2296.7399522901687
Mato Grosso;2030;2372.083211155463
Pará;2025;3766.0137237757735
Pará;2026;3834.135076921055
Pará;2027;3902.256430066336
Pará;2028;3970.3777832116175
Pará;2029;4038.499136356899
Pará;2030;4106.620489502209
Rondônia;2025;1302.1139593800326
Rondônia;2026;1339.852467628778
Rondônia;2027;1377.5909758775379
Rondônia;2028;1415.3294841262978
Rondônia;2029;1453.0679923750577
Rondônia;2030;1490.8065006238176
Roraima;2025;377.81124142362023
Roraima;2026;394.0478377359723
Roraima;2027;410.28443404832433
Roraima;2028;426.52103036068365
Roraima;2029;442.7576266730357
Roraima;2030;458.99422298538775
Tocantins;2025;6.375198189861294
Tocantins;2026;5.543785509746613
Tocantins;2027;4.712372829631931
Tocantins;2028;3.88096014951725
Tocantins;2029;3.049547469402569
Tocantins;2030;2.2181347892878875
